,date_time,user_name,in_out,user_class
325,2023-07-23 08:58:46,봄이아빠b-노비스,IN,노비스
326,2023-07-23 09:17:15,자유-노비스,IN,노비스
327,2023-07-23 09:24:14,머니메이커스-워프수강생,IN,수강생
328,2023-07-23 09:24:27,산타클로니,IN,Not defined
329,2023-07-23 09:46:39,SHINE-seo수강생,IN,수강생
330,2023-07-23 11:00:25,츄-노비스,IN,노비스
331,2023-07-23 11:16:22,보리수-노비스,IN,노비스
332,2023-07-23 11:28:06,페라로마 - 노비스(신생아),IN,노비스
333,2023-07-23 11:39:17,알미/노비스,IN,노비스
334,2023-07-23 12:01:06,엑시터 - 노비스,IN,노비스
335,2023-07-23 12:17:17,이지지-노비스,IN,노비스
336,2023-07-23 12:20:27,돈린이 - 노비스,IN,노비스
337,2023-07-23 12:41:47,로얄층알려주는남자-워프수강생,IN,수강생
338,2023-07-23 13:16:03,터닝 포인트 - 노비스,IN,노비스
339,2023-07-23 13:34:12,디지털영마드 - 노비스,IN,노비스
340,2023-07-23 13:42:00,훈초이 - 노비스,IN,노비스
341,2023-07-23 14:53:54,꾸주니 - 노비스,IN,노비스
342,2023-07-23 16:24:06,우주최강말썽쟁이 - 노비스,IN,노비스
343,2023-07-23 16:53:21,melli,IN,Not defined
344,2023-07-23 17:11:02,그투탑 - 노비스,IN,노비스
345,2023-07-23 17:32:06,멀리버드-노비스,IN,노비스
346,2023-07-23 18:46:54,디딤돌-노비스,IN,노비스
347,2023-07-23 19:11:51,리빙 체인저 - 워프수강생,IN,수강생
348,2023-07-23 19:55:32,오아시스 - 노비스,OUT,노비스
349,2023-07-23 19:59:25,데이먼 - 워프 수강생,IN,수강생
350,2023-07-23 20:09:21,마틸다 - 노비스,IN,노비스
351,2023-07-23 20:35:34,꿈은이루어진다-노비스,IN,노비스
352,2023-07-23 21:42:38,KRW - 노비스,IN,노비스
353,2023-07-23 22:25:37,어우다-노비스,IN,노비스
354,2023-07-23 23:19:13,먹보 네오,IN,Not defined
355,2023-07-23 23:23:28,택배 상자를 든 네오,OUT,Not defined
356,2023-07-24 00:04:11,くるくるメガネにジャージ姿のネオ,IN,Not defined
357,2023-07-24 00:27:54,영재형사랑해뽀뽀쪽 - 노비스,IN,노비스
358,2023-07-24 00:37:44,오아시스 - 노비스,IN,노비스
359,2023-07-24 02:11:55,날 - 노비스,IN,노비스
360,2023-07-24 02:32:55,dramagil-노비스,IN,노비스
361,2023-07-24 03:05:52,튜브낀 튜브,IN,Not defined
362,2023-07-24 04:43:18,초롱초롱_노비스,IN,노비스
363,2023-07-24 05:26:14,머리 빗는 네오,OUT,Not defined
364,2023-07-24 07:20:21,쿠잉월드 - 노비스,IN,노비스
365,2023-07-24 07:43:12,sm,IN,Not defined
366,2023-07-24 09:05:15,앨리스짱-노비스,IN,노비스
367,2023-07-24 09:21:53,나폴레온 - 워프수강생,IN,수강생
368,2023-07-24 11:09:34,Club1m - 노비스,IN,노비스
369,2023-07-24 11:32:38,Eliezer-노비스,OUT,노비스
370,2023-07-24 11:54:16,이성모 - 노비스,IN,노비스
371,2023-07-24 12:36:17,왕꿈틀이-노비스,IN,노비스
372,2023-07-24 13:39:52,bluebird ㅡINFJ-A,IN,Not defined
373,2023-07-24 13:50:36,벙,IN,Not defined
374,2023-07-24 13:53:17,벙,OUT,Not defined
375,2023-07-24 14:17:17,노마드커리어-노비스,IN,노비스
376,2023-07-24 14:26:25,namgang2222 - 노비스,IN,노비스
377,2023-07-24 14:27:28,namgang2222 - 노비스,OUT,노비스
378,2023-07-24 14:29:29,namgang2222 - 노비스,IN,노비스
379,2023-07-24 15:03:03,피아이 - 노비스,IN,노비스
380,2023-07-24 15:10:52,멋쟁이 - 노비스,OUT,노비스
381,2023-07-24 15:24:24,매실-노비스,IN,노비스
382,2023-07-24 15:24:31,할라피뇨,IN,Not defined
383,2023-07-24 15:47:56,김영준-노비스,IN,노비스
384,2023-07-24 16:14:09,락라드 - 노비스,IN,노비스
385,2023-07-24 16:47:06,김도훈,IN,Not defined
